theta;RFC;KNN;GNB;SVM
5.865942533;79.615;97.325;91.765;94.87
5.878214379;79.47;97.35;91.705;94.76
5.890486225;79.99;97.275;91.8;94.87
5.902758072;80.155;97.355;91.71;94.825
5.915029918;79.705;97.37;91.975;94.91
5.927301764;79.625;97.32;91.7;94.885
5.939573611;80.115;97.365;91.69;95.015
5.951845457;79.915;97.33;91.815;94.95
5.964117303;79.785;97.385;91.395;94.84
5.97638915;79.67;97.28;91.715;94.95
5.988660996;79.815;97.34;91.73;94.805
6.000932842;79.84;97.345;91.795;94.845
6.013204689;79.775;97.34;91.78;94.855
6.025476535;79.7;97.42;91.73;95.05
6.037748381;80.005;97.32;91.635;94.915
6.050020227;80.1;97.35;91.845;94.88
6.062292074;79.535;97.395;91.795;94.83
6.07456392;79.99;97.325;91.67;94.865
6.086835766;79.29;97.35;91.81;95.145
6.099107613;79.64;97.45;91.845;94.875
6.111379459;80.17;97.355;91.895;95.06
6.123651305;79.68;97.395;91.94;95.075
6.135923152;80.165;97.445;91.91;94.97
6.148194998;80.025;97.335;91.74;95.085
6.160466844;79.415;97.41;91.88;94.955
6.17273869;79.86;97.415;91.89;94.955
6.185010537;80.11;97.355;91.915;95.005
6.197282383;80.035;97.375;91.905;95.03
6.209554229;79.385;97.315;91.645;95.045
6.221826076;80.3;97.37;91.72;94.91
6.234097922;79.58;97.39;91.71;94.99
6.246369768;79.375;97.415;91.665;94.895
6.258641615;80.035;97.405;91.59;94.98
6.270913461;79.755;97.4;91.645;94.9
