;;;;;;;;;
theta1;theta2;RFC;;1NN;;GNB;;SVM;
;;Mean;STD;Mean;STD;Mean;STD;Mean;STD
0.897597901;5.565106986;85.108;1.39893;94.626;0.85925;86.058;1.51673;86.535;1.27315
0.897597901;5.744626567;85.156;1.4624;94.778;0.81602;85.999;1.39204;86.414;1.32133
0.897597901;5.924146147;85.376;1.54164;94.765;0.89099;86.415;1.43112;86.243;1.2339
0.897597901;6.103665727;85.528;1.42887;94.858;0.88606;86.749;1.37691;86.842;1.20691
0.897597901;6.283185307;85.122;1.48257;95.001;0.7853;86.851;1.516;86.864;1.14112
1.077117481;0;85.114;1.56315;94.915;0.87222;86.932;1.47799;86.854;1.31092
1.077117481;0.17951958;85.281;1.40806;94.979;0.8154;86.79;1.40489;86.858;1.15867
1.077117481;0.35903916;85.197;1.40163;94.825;0.85631;86.594;1.32119;87.029;1.14512
1.077117481;0.538558741;84.654;1.50904;94.764;0.84631;86.403;1.38297;87.068;1.22835
1.077117481;0.718078321;85.09;1.40948;94.736;0.82461;86.294;1.51597;87.104;1.20335
1.077117481;0.897597901;84.793;1.56255;94.724;0.81543;86.194;1.46645;86.503;1.31048
1.077117481;1.077117481;84.889;1.46789;94.511;0.83645;86.025;1.50241;85.983;1.33589
1.077117481;1.256637061;84.76;1.43612;94.313;0.82153;85.958;1.48234;85.822;1.21203
1.077117481;1.436156642;84.393;1.56626;94.171;0.92681;86.204;1.40217;85.625;1.18414
1.077117481;1.615676222;84.064;1.41088;94.122;0.96583;86.189;1.45102;85.028;1.31688
1.077117481;1.795195802;83.71;1.54776;93.667;0.90715;86.222;1.37675;84.826;1.27087
1.077117481;1.974715382;83.397;1.54827;93.622;0.90046;86.286;1.39977;84.872;1.17715
1.077117481;2.154234962;83.057;1.59698;93.657;0.86782;85.985;1.45019;85.053;1.19117
1.077117481;2.333754543;83.024;1.62183;93.763;0.90632;85.812;1.4822;85.364;1.25934
1.077117481;2.513274123;83.294;1.43897;94.104;0.88112;85.946;1.45584;85.747;1.29841
1.077117481;2.692793703;82.901;1.5574;93.536;0.8332;85.812;1.46978;85.322;1.24255
1.077117481;2.872313283;82.115;1.47233;93.436;0.97314;85.696;1.48117;84.699;1.29026
1.077117481;3.051832863;81.833;1.87268;92.846;0.95065;85.033;1.672;83.919;1.25885
1.077117481;3.231352444;81.237;1.67038;92.668;0.94797;84.515;1.71082;83.517;1.43465
1.077117481;3.410872024;81.318;1.43459;92.263;0.97446;84.114;1.68139;83.468;1.36909
1.077117481;3.590391604;80.935;1.63439;92.017;0.92931;83.708;1.69313;83.253;1.34918
1.077117481;3.769911184;80.711;1.66079;91.967;0.91598;83.793;1.62158;83.2;1.40229
1.077117481;3.949430765;81.192;1.63313;92.097;0.90959;83.785;1.57397;83.36;1.36997
1.077117481;4.128950345;81.433;1.79214;92.339;0.9185;83.876;1.5063;83.415;1.32464
1.077117481;4.308469925;82.089;1.52233;92.929;0.97403;84.483;1.54636;83.797;1.23918
1.077117481;4.487989505;82.65;1.74643;93.401;0.91065;84.928;1.49233;84.444;1.24304
1.077117481;4.667509085;83.087;1.48499;93.783;0.88913;85.487;1.55748;85.176;1.23539
1.077117481;4.847028666;84.114;1.6918;94.033;0.84618;85.856;1.39785;85.839;1.22976
1.077117481;5.026548246;84.278;1.48825;94.394;0.80544;86.064;1.48178;86.294;1.21142
1.077117481;5.206067826;84.754;1.4722;94.579;0.84333;86.188;1.45871;86.729;1.12806
1.077117481;5.385587406;85.037;1.62848;94.597;0.92578;86.179;1.48974;86.794;1.23317
1.077117481;5.565106986;84.74;1.27652;94.512;0.8376;86.231;1.51192;86.876;1.26267
1.077117481;5.744626567;84.967;1.46304;94.732;0.84283;86.179;1.44518;86.692;1.25529
1.077117481;5.924146147;84.958;1.48273;94.753;0.87038;86.125;1.38074;86.325;1.37007
1.077117481;6.103665727;85.256;1.28631;94.803;0.87361;86.493;1.39753;86.311;1.29567
1.077117481;6.283185307;85.396;1.47737;94.912;0.87371;86.958;1.47843;86.843;1.28137
1.256637061;0;85.364;1.49249;94.713;0.89694;86.469;1.47499;86.349;1.34691
1.256637061;0.17951958;85.275;1.37156;94.842;0.85166;86.828;1.49365;86.701;1.21849
1.256637061;0.35903916;85.206;1.45568;94.899;0.83028;86.661;1.4503;86.957;1.10922
1.256637061;0.538558741;85.033;1.3641;94.842;0.83865;86.61;1.49383;87.104;1.14368
1.256637061;0.718078321;85.113;1.42653;94.757;0.87166;86.406;1.4133;87.072;1.27319
1.256637061;0.897597901;84.935;1.47621;94.775;0.82163;86.335;1.41037;87.058;1.28776
1.256637061;1.077117481;84.869;1.61563;94.746;0.8294;86.26;1.5211;86.542;1.35094
1.256637061;1.256637061;84.954;1.48137;94.511;0.83645;86.024;1.50471;86.022;1.33673
1.256637061;1.436156642;84.732;1.52034;94.324;0.8176;85.987;1.41761;85.754;1.22132
1.256637061;1.615676222;84.389;1.45217;94.158;0.91831;86.014;1.47216;85.481;1.21183
1.256637061;1.795195802;84.008;1.49691;94.036;0.96721;86.136;1.48532;85.022;1.33257
1.256637061;1.974715382;83.646;1.52048;93.672;0.8991;86.053;1.47669;84.579;1.33542
1.256637061;2.154234962;83.204;1.49694;93.475;0.89105;86.128;1.47448;84.483;1.25678
1.256637061;2.333754543;83.108;1.56394;93.432;0.87694;86.057;1.43303;84.6;1.2522
1.256637061;2.513274123;82.983;1.54541;93.4;0.85628;86.107;1.50545;84.694;1.30836
1.256637061;2.692793703;83.403;1.45833;93.893;0.93818;86.161;1.45741;85.501;1.1886
1.256637061;2.872313283;82.587;1.69213;93.653;0.9195;85.651;1.44427;85.078;1.30146
1.256637061;3.051832863;82.531;1.53779;93.351;1.00282;85.368;1.5459;84.535;1.20367
1.256637061;3.231352444;81.943;1.56674;92.946;1.00506;84.89;1.65893;84.024;1.40222
1.256637061;3.410872024;81.233;1.72349;92.435;0.95873;84.158;1.74932;83.611;1.43681
1.256637061;3.590391604;80.99;1.75283;91.989;1.01833;83.969;1.6362;83.383;1.35778
1.256637061;3.769911184;80.892;1.64689;91.894;0.97905;83.644;1.5831;83.196;1.41496
1.256637061;3.949430765;81.347;1.62714;92.165;0.97719;83.76;1.58446;83.411;1.38657
1.256637061;4.128950345;81.528;1.63441;92.239;0.95486;83.792;1.5623;83.675;1.31048
1.256637061;4.308469925;82.042;1.55338;92.553;0.9696;84.271;1.60732;83.669;1.34
1.256637061;4.487989505;82.947;1.56958;93.089;0.93172;84.782;1.62057;84.129;1.27185
1.256637061;4.667509085;83.642;1.46823;93.89;0.91171;85.514;1.56242;85.154;1.31833
1.256637061;4.847028666;84.269;1.54231;94.25;0.86647;86.113;1.49775;86.021;1.21405
1.256637061;5.026548246;84.786;1.5163;94.494;0.82835;86.215;1.53022;86.372;1.28249
1.256637061;5.206067826;84.732;1.47762;94.703;0.77803;86.317;1.53816;86.782;1.12269
1.256637061;5.385587406;85.046;1.43252;94.85;0.90452;86.214;1.54743;87.053;1.09917
1.256637061;5.565106986;84.797;1.4835;94.69;0.91242;86.318;1.41114;86.961;1.23029
1.256637061;5.744626567;84.947;1.412;94.599;0.87729;86.342;1.53586;86.91;1.33208
1.256637061;5.924146147;84.932;1.48169;94.681;0.89419;86.167;1.51459;86.557;1.29477
1.256637061;6.103665727;84.969;1.3108;94.65;0.85942;86.158;1.45366;86.149;1.31452
1.256637061;6.283185307;85.183;1.4601;94.713;0.89586;86.463;1.47529;86.378;1.32531
