theta;RFC;;KNN;;GNB;;SVC;
2.35619449;44.095;3.152336435;71.305;1.793592763;62.3425;2.595104767;51.4175;2.192901902
2.368466337;44.2;3.108858311;71.3025;1.835515936;62.3475;2.626522178;51.4375;2.097431465
2.380738183;44.4725;2.824644889;71.305;1.861310023;62.215;2.6203578;51.3975;2.146536454
2.393010029;44.19;2.885116982;71.2775;1.844889902;62.2075;2.59496026;51.3725;2.18188422
2.405281875;44.1475;3.212105034;71.2875;1.906690523;62.23;2.508405868;51.3825;2.075889869
2.417553722;44.3775;3.225386605;71.28;1.923304448;62.1975;2.484022695;51.3975;2.162202292
2.429825568;44.465;2.833288725;71.2675;1.911888791;62.1925;2.524345212;51.315;2.118554932
2.442097414;44.515;2.914365283;71.3125;1.898478009;62.175;2.47802845;51.3025;2.130814105
2.454369261;44.1875;2.95600554;71.2925;1.887476821;62.2775;2.519894591;51.33;2.203656053
2.466641107;44.6025;2.983306681;71.295;1.929177286;62.26;2.478134379;51.3225;2.243962734
2.478912953;43.9775;2.82269707;71.3075;1.886085563;62.36;2.58222772;51.2475;2.197582479
2.4911848;44.22;2.660657813;71.2875;1.898148769;62.305;2.627874616;51.3625;2.194702429
2.503456646;44.21;3.005561512;71.3075;1.923166334;62.2725;2.636070703;51.375;2.230050448
2.515728492;44.97;2.701915987;71.3625;1.9520422;62.38;2.602518011;51.3225;2.224942415
2.528000338;44.675;3.046206657;71.37;1.995144105;62.4075;2.633119585;51.3375;2.166037569
2.540272185;44.255;2.743624428;71.3875;1.97780655;62.3475;2.599253499;51.3;2.110983183
2.552544031;44.32;3.0504262;71.46;1.981388402;62.35;2.691885956;51.3125;2.110502014
2.564815877;44.335;2.45896828;71.5175;2.005696575;62.4075;2.849266353;51.3225;2.179534067
2.577087724;43.7875;2.662323938;71.5575;2.017069347;62.445;2.77253945;51.44;2.206841635
2.58935957;44.545;2.896631665;71.675;1.984155992;62.555;2.814378262;51.475;2.215428852
2.601631416;44.6475;2.882944458;71.675;2.009508646;62.665;2.652409282;51.47;2.241450423
2.613903263;44.9175;2.696306501;71.74;1.97829472;62.6075;2.647700653;51.4525;2.280267254
2.626175109;44.5575;3.052428337;71.8;1.962778643;62.53;2.652659043;51.525;2.230050448
2.638446955;44.2625;2.453154857;71.8125;2.00853647;62.63;2.6468094;51.6025;2.208816142
2.650718801;44.695;2.724788983;71.9275;1.988496605;62.6975;2.595018064;51.595;2.175942325
2.662990648;44.7925;2.77444927;71.975;2.002654488;62.6925;2.668064608;51.72;2.168893727
2.675262494;44.6175;2.727282301;72.005;1.951915726;62.765;2.714042188;51.83;2.104720884
2.68753434;44.9;3.01869177;72.0225;1.928112743;62.8225;2.730909876;51.95;2.199431745
2.699806187;44.9525;2.92397311;72.0375;1.90242444;62.9475;2.856417118;51.99;2.165906277
2.712078033;45.075;2.593621985;72.0825;1.907241136;63.0725;2.882771019;52.06;2.180917238
2.724349879;45.3575;2.905867986;72.115;1.955255738;63.1275;2.821678357;52.145;2.21025451
2.736621726;45.4775;2.671398276;72.14;1.892854987;63.0375;2.798074114;52.3125;2.227772149
2.748893572;44.8975;2.806041473;72.165;1.888524556;63.055;2.709377235;52.54;2.212668073
2.761165418;45.7525;2.687353484;72.2375;1.860569469;63.17;2.742462397;52.635;2.149831389
2.773437265;45.225;2.469438195;72.3525;1.886496422;63.3825;2.751012314;52.7925;2.250015278
2.785709111;45.7225;2.736305676;72.4575;1.900018092;63.4725;2.728299608;53.01;2.134221169
2.797980957;45.675;2.864109809;72.625;1.917517927;63.615;2.646086733;53.1875;2.174101826
2.810252803;45.765;2.666181727;72.7175;1.90054433;63.64;2.64299073;53.3775;2.158846625
2.82252465;45.685;2.958382159;72.865;1.90604958;63.6525;2.681859197;53.6225;2.123821732
2.834796496;45.4575;2.973225311;72.9575;1.917698816;63.8;2.678152348;53.7725;2.194053042
2.847068342;45.7925;2.975326663;73.035;1.946798654;63.9525;2.548699423;53.985;2.264348692
2.859340189;46.63;2.742371237;73.19;1.961224108;64.09;2.416485051;54.2325;2.182388313
2.871612035;45.905;2.664296342;73.46;1.992398053;64.1725;2.317513484;54.4025;2.170511173
2.883883881;46.12;3.074995935;73.545;1.931767326;64.28;2.337274053;54.645;2.099458263
2.896155728;46.53;2.840836145;73.825;1.898848335;64.46;2.490662562;54.9625;2.134061562
2.908427574;46.6075;2.854000482;73.9825;1.921996033;64.4275;2.416426856;55.2825;2.123868817
2.92069942;46.38;3.207117085;74.245;1.911798891;64.6;2.558075448;55.6175;2.08460278
2.932971266;46.6575;2.992209677;74.485;2.011162599;64.69;2.444923312;55.74;2.178852909
2.945243113;46.69;3.103248298;74.6875;1.963853037;64.78;2.390941237;56.0975;2.160120078
2.957514959;47.0675;3.034974259;74.8325;1.986219713;65.1125;2.427286293;56.335;2.244220355
2.969786805;46.84;2.734849173;75.025;1.904435612;65.2425;2.324450204;56.5225;2.23329773
2.982058652;47.3775;2.614740666;75.2875;1.917477184;65.24;2.454312531;56.7875;2.398013501
2.994330498;47.9625;2.99089765;75.515;1.91859975;65.525;2.471714992;56.9425;2.349695459
3.006602344;47.885;2.822769031;75.765;1.871436614;65.7775;2.451503365;57.3525;2.381463573
3.018874191;47.9;3.097377923;76.045;1.885928153;65.9975;2.330905135;57.6225;2.320962893
